code,name,link,market_cap,today_price,previous_price,rate
272210,한화시스템,https://finance.naver.com/item/main.naver?code=272210,"2조4,371억원",12900,12250,5.04
012750,에스원,https://finance.naver.com/item/main.naver?code=012750,"2조3,939억원",63000,63100,-0.16
047050,포스코인터내셔널,https://finance.naver.com/item/main.naver?code=047050,"2조2,886억원",18550,17900,3.5
001040,CJ,https://finance.naver.com/item/main.naver?code=001040,"2조2,787억원",78100,77500,0.77
012450,한화에어로스페이스,https://finance.naver.com/item/main.naver?code=012450,"2조2,429억원",44300,43250,2.37
047040,대우건설,https://finance.naver.com/item/main.naver?code=047040,"2조2,277억원",5360,5120,4.48
064350,현대로템,https://finance.naver.com/item/main.naver?code=064350,"2조1,828억원",20000,19200,4.0
042660,대우조선해양,https://finance.naver.com/item/main.naver?code=042660,"2조1,458억원",20000,19300,3.5
138930,BNK금융지주,https://finance.naver.com/item/main.naver?code=138930,"2조1,218억원",6510,6240,4.15
004170,신세계,https://finance.naver.com/item/main.naver?code=004170,"2조1,167억원",215000,209000,2.79
006280,녹십자,https://finance.naver.com/item/main.naver?code=006280,2조977억원,179500,184000,-2.51
069620,대웅제약,https://finance.naver.com/item/main.naver?code=069620,2조914억원,180500,178500,1.11
001440,대한전선,https://finance.naver.com/item/main.naver?code=001440,2조845억원,1675,1625,2.99
000080,하이트진로,https://finance.naver.com/item/main.naver?code=000080,2조760억원,29600,29300,1.01
039490,키움증권,https://finance.naver.com/item/main.naver?code=039490,2조189억원,77000,71600,7.01
112610,씨에스윈드,https://finance.naver.com/item/main.naver?code=112610,"1조9,715억원",46750,45500,2.67
000990,DB하이텍,https://finance.naver.com/item/main.naver?code=000990,"1조9,535억원",44000,43100,2.05
336260,두산퓨얼셀,https://finance.naver.com/item/main.naver?code=336260,"1조9,255억원",29400,28000,4.76
088350,한화생명,https://finance.naver.com/item/main.naver?code=088350,"1조8,717억원",2155,2050,4.87
000880,한화,https://finance.naver.com/item/main.naver?code=000880,"1조8,140억원",24200,23400,3.31
285130,SK케미칼,https://finance.naver.com/item/main.naver?code=285130,"1조7,973억원",102000,103500,-1.47
081660,휠라홀딩스,https://finance.naver.com/item/main.naver?code=081660,"1조7,223억원",28350,27800,1.94
004370,농심,https://finance.naver.com/item/main.naver?code=004370,"1조6,971억원",279000,280500,-0.54
006260,LS,https://finance.naver.com/item/main.naver?code=006260,"1조6,969억원",52700,51800,1.71
111770,영원무역,https://finance.naver.com/item/main.naver?code=111770,"1조6,883억원",38100,37100,2.62
051600,한전KPS,https://finance.naver.com/item/main.naver?code=051600,"1조6,830억원",37400,36900,1.34
004000,롯데정밀화학,https://finance.naver.com/item/main.naver?code=004000,"1조6,693억원",64700,63200,2.32
007310,오뚜기,https://finance.naver.com/item/main.naver?code=007310,"1조6,267억원",443000,447000,-0.9
003090,대웅,https://finance.naver.com/item/main.naver?code=003090,"1조6,193억원",27850,28100,-0.9
079550,LIG넥스원,https://finance.naver.com/item/main.naver?code=079550,"1조6,126억원",73300,70300,4.09
093370,후성,https://finance.naver.com/item/main.naver?code=093370,"1조5,836억원",17100,16300,4.68
011210,현대위아,https://finance.naver.com/item/main.naver?code=011210,"1조5,664억원",57600,58700,-1.91
005300,롯데칠성,https://finance.naver.com/item/main.naver?code=005300,"1조5,635억원",168500,171000,-1.48
004800,효성,https://finance.naver.com/item/main.naver?code=004800,"1조5,571억원",73900,72000,2.57
010120,LS ELECTRIC,https://finance.naver.com/item/main.naver?code=010120,"1조5,240억원",50800,49800,1.97
014820,동원시스템즈,https://finance.naver.com/item/main.naver?code=014820,"1조5,236억원",52200,52500,-0.57
375500,DL이앤씨,https://finance.naver.com/item/main.naver?code=375500,"1조5,207억원",39300,37800,3.82
